Date : 2024-08-16 17:16:18
Directory : c:\Users\atlas\Documents\Flutter Projects\proj\lib
Total : 116 files,  3315 codes, 146 comments, 206 blanks, all 3667 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        116 |      3,315 |        146 |        206 |      3,667 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |        116 |      3,315 |        146 |        206 |      3,667 |
| . (Files)                                                                                                                |          1 |          5 |          0 |          0 |          5 |
| global                                                                                                                   |          4 |          7 |          0 |         -2 |          5 |
| global\binding                                                                                                           |          1 |          2 |          0 |          0 |          2 |
| global\core                                                                                                              |          3 |          5 |          0 |         -2 |          3 |
| global\core\api                                                                                                          |          2 |          4 |          0 |         -2 |          2 |
| global\core\class                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| local                                                                                                                    |        111 |      3,303 |        146 |        208 |      3,657 |
| local\core                                                                                                               |         13 |        367 |         84 |         29 |        480 |
| local\core\api                                                                                                           |          1 |          4 |          1 |          1 |          6 |
| local\core\class                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| local\core\constant                                                                                                      |          2 |        -17 |          2 |          0 |        -15 |
| local\core\functions                                                                                                     |          2 |         16 |          0 |          5 |         21 |
| local\core\functions (Files)                                                                                             |          1 |          7 |          0 |          2 |          9 |
| local\core\functions\language                                                                                            |          1 |          9 |          0 |          3 |         12 |
| local\core\language                                                                                                      |          1 |        -20 |         -2 |         -1 |        -23 |
| local\core\localization                                                                                                  |          2 |        364 |         78 |         24 |        466 |
| local\core\middleware                                                                                                    |          1 |         -2 |          2 |          0 |          0 |
| local\core\routes                                                                                                        |          1 |         16 |          0 |          0 |         16 |
| local\core\themes                                                                                                        |          2 |          5 |          3 |          0 |          8 |
| local\core\themes (Files)                                                                                                |          1 |          2 |          0 |          0 |          2 |
| local\core\themes\light                                                                                                  |          1 |          3 |          3 |          0 |          6 |
